id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index
2,1,scatter,0.2,0.05,trig,data/P2/trig/scatter/S0.05m0.2.png,,0.22,,,38
2,1,scatter,0.4,0.05,quad,data/P2/quad/scatter/S0.05m0.4.png,,0.43,,,39
2,-1,scatter,0.2,0.05,quad,data/P2/quad/scatter/S0.05m-0.2.png,,-0.23,,,40
2,1,scatter,0.8,0.1,trig,data/P2/trig/scatter/S0.1m0.8.png,,0.8,,,41
2,-1,scatter,0.1,0.1,trig,data/P2/trig/scatter/S0.1m-0.1.png,,-0.01,,,42
2,-1,scatter,0.8,0.1,trig,data/P2/trig/scatter/S0.1m-0.8.png,,-0.92,,,43
2,-1,scatter,0.4,0.1,line,data/P2/line/scatter/S0.1m-0.4.png,,-0.39,,,44
2,1,scatter,0.1,0.1,quad,data/P2/quad/scatter/S0.1m0.1.png,,0.02,,,45
2,1,scattertrend,0.2,0.1,trig,data/P2/trig/scattertrend/S0.1m0.2.png,1,0.2,,,46
2,1,scatter,0.2,0.1,line,data/P2/line/scatter/S0.1m0.2.png,,0.23,,,47
2,1,scatter,0.4,0.1,quad,data/P2/quad/scatter/S0.1m0.4.png,,0.44,,,48
2,-1,scatter,0.2,0.1,quad,data/P2/quad/scatter/S0.1m-0.2.png,,-0.22,,,49
2,1,scatter,0.8,0.2,line,data/P2/line/scatter/S0.2m0.8.png,,1,,,50
2,-1,scatter,0.1,0.2,quad,data/P2/quad/scatter/S0.2m-0.1.png,,-0.08,,,51
2,-1,scatter,0.8,0.2,trig,data/P2/trig/scatter/S0.2m-0.8.png,,-1,,,52
2,-1,scatter,0.4,0.2,trig,data/P2/trig/scatter/S0.2m-0.4.png,,-0.56,,,53
2,1,scatter,0.1,0.2,quad,data/P2/quad/scatter/S0.2m0.1.png,,0.09,,,54
2,1,scatter,0.2,0.2,quad,data/P2/quad/scatter/S0.2m0.2.png,,0.22,,,55
2,1,scatter,0.4,0.2,quad,data/P2/quad/scatter/S0.2m0.4.png,,0.46,,,56
2,-1,scatter,0.2,0.2,quad,data/P2/quad/scatter/S0.2m-0.2.png,,-0.31,,,57
2,1,scatter,0.8,0.15,quad,data/P2/quad/scatter/S0.15m0.8.png,,0.86,,,58
2,-1,scatter,0.1,0.15,trig,data/P2/trig/scatter/S0.15m-0.1.png,,-0.22,,,59
2,-1,scatter,0.8,0.15,quad,data/P2/quad/scatter/S0.15m-0.8.png,,-0.9,,,60
2,-1,scatter,0.4,0.15,quad,data/P2/quad/scatter/S0.15m-0.4.png,,-0.5,,,61
2,1,scatter,0.1,0.15,trig,data/P2/trig/scatter/S0.15m0.1.png,,0.15,,,62
2,1,scatter,0.2,0.15,quad,data/P2/quad/scatter/S0.15m0.2.png,,0.24,,,63
2,1,scatter,0.4,0.15,trig,data/P2/trig/scatter/S0.15m0.4.png,,0.52,,,64
