"","id","sign","type","m","sigma","graphtype","src","isValidation","answer","error","unsignedError","index","age","gender","level","faculty","graphs"
"160","2",-1,"scatter",0.1,0.15,"trig","data/P2/trig/scatter/S0.15m-0.1.png",NA,-0.22,NA,NA,59,20,"F","BA","PF","1"
"161","2",-1,"scatter",0.8,0.15,"quad","data/P2/quad/scatter/S0.15m-0.8.png",NA,-0.9,NA,NA,60,20,"F","BA","PF","1"
"162","2",-1,"scatter",0.4,0.15,"quad","data/P2/quad/scatter/S0.15m-0.4.png",NA,-0.5,NA,NA,61,20,"F","BA","PF","1"
"163","2",1,"scatter",0.1,0.15,"trig","data/P2/trig/scatter/S0.15m0.1.png",NA,0.15,NA,NA,62,20,"F","BA","PF","1"
"164","2",1,"scatter",0.2,0.15,"quad","data/P2/quad/scatter/S0.15m0.2.png",NA,0.24,NA,NA,63,20,"F","BA","PF","1"
"165","2",1,"scatter",0.4,0.15,"trig","data/P2/trig/scatter/S0.15m0.4.png",NA,0.52,NA,NA,64,20,"F","BA","PF","1"
"166","2",-1,"scatter",0.2,0.15,"trig","data/P2/trig/scatter/S0.15m-0.2.png",NA,-0.23,NA,NA,65,20,"F","BA","PF","1"
"167","2",1,"area",0.8,0.05,"line","data/P2/line/area/S0.05m0.8.png",NA,0.85,NA,NA,66,20,"F","BA","PF","1"
"168","2",-1,"area",0.1,0.05,"line","data/P2/line/area/S0.05m-0.1.png",NA,-0.02,NA,NA,67,20,"F","BA","PF","1"
"169","2",-1,"area",0.8,0.05,"quad","data/P2/quad/area/S0.05m-0.8.png",NA,-0.82,NA,NA,68,20,"F","BA","PF","1"
"170","2",-1,"area",0.4,0.05,"line","data/P2/line/area/S0.05m-0.4.png",NA,-0.47,NA,NA,69,20,"F","BA","PF","1"
"171","2",1,"area",0.1,0.05,"quad","data/P2/quad/area/S0.05m0.1.png",NA,0.15,NA,NA,70,20,"F","BA","PF","1"
"172","2",1,"area",0.2,0.05,"line","data/P2/line/area/S0.05m0.2.png",NA,0.23,NA,NA,71,20,"F","BA","PF","1"
"173","2",1,"area",0.4,0.05,"trig","data/P2/trig/area/S0.05m0.4.png",NA,0.45,NA,NA,72,20,"F","BA","PF","1"
"174","2",-1,"area",0.2,0.05,"trig","data/P2/trig/area/S0.05m-0.2.png",NA,-0.28,NA,NA,73,20,"F","BA","PF","1"
"175","2",1,"area",0.8,0.1,"line","data/P2/line/area/S0.1m0.8.png",NA,0.81,NA,NA,74,20,"F","BA","PF","1"
"176","2",-1,"area",0.1,0.1,"line","data/P2/line/area/S0.1m-0.1.png",NA,-0.05,NA,NA,75,20,"F","BA","PF","1"
"177","2",-1,"area",0.8,0.1,"line","data/P2/line/area/S0.1m-0.8.png",NA,-0.74,NA,NA,76,20,"F","BA","PF","1"
"178","2",-1,"area",0.4,0.1,"quad","data/P2/quad/area/S0.1m-0.4.png",NA,-0.5,NA,NA,77,20,"F","BA","PF","1"
"179","2",1,"area",0.1,0.1,"quad","data/P2/quad/area/S0.1m0.1.png",NA,0.12,NA,NA,78,20,"F","BA","PF","1"
"180","2",1,"area",0.2,0.1,"line","data/P2/line/area/S0.1m0.2.png",NA,0.2,NA,NA,79,20,"F","BA","PF","1"
"181","2",1,"area",0.4,0.1,"line","data/P2/line/area/S0.1m0.4.png",NA,0.43,NA,NA,80,20,"F","BA","PF","1"
"182","2",-1,"area",0.2,0.1,"line","data/P2/line/area/S0.1m-0.2.png",NA,-0.14,NA,NA,81,20,"F","BA","PF","1"
"183","2",1,"area",0.8,0.2,"trig","data/P2/trig/area/S0.2m0.8.png",NA,0.87,NA,NA,82,20,"F","BA","PF","1"
"184","2",-1,"area",0.1,0.2,"line","data/P2/line/area/S0.2m-0.1.png",NA,0,NA,NA,83,20,"F","BA","PF","1"
"185","2",-1,"area",0.8,0.2,"trig","data/P2/trig/area/S0.2m-0.8.png",NA,-0.86,NA,NA,84,20,"F","BA","PF","1"
"186","2",-1,"areatrend",0.4,0.2,"line","data/P2/line/areatrend/S0.2m-0.4.png",1,-0.39,NA,NA,85,20,"F","BA","PF","1"
